zip,ZCTA,total,rural,distance_from_shands,median_income,perc_below_poverty,prop_black,prop_hisp
48320,48320,4391,0,895.1300502,49036,16.4,0.041448417,0.080847187
14025,14025,3210,0,916.757584,63750,3.3,0.001869159,0.005607477
51024,51024,1878,1,1179.220096,69118,6.8,0,0.001064963
1931,1930,29237,0,1104.130302,60229,9.7,0.007524712,0.02917536
1930,1930,29237,0,1104.130302,60229,9.7,0.007524712,0.02917536
14847,14847,2282,1,946.6614458,50000,10.6,0.020157756,0.005258545
13807,13807,1217,1,982.4798149,59286,8,0.001643385,0.00903862
83126,83126,471,1,1814.224402,102663,0,0,0.027600849
14860,14860,1270,1,942.8633912,46094,17.8,0,0.01023622
50516,50516,656,1,1107.659731,58542,4.9,0,0.007621951
53520,53520,6772,0,974.7251416,50241,11.3,0.001329002,0.013142351
1982,1982,8098,0,1097.609986,108558,3.2,0.029760435,0.022845147
1936,1982,8098,0,1097.609986,108558,3.2,0.029760435,0.022845147
12054,12054,17139,0,1010.764663,97148,3.2,0.028239687,0.019195986
12197,12197,2560,1,988.5551556,50857,13.2,0.0109375,0.098046875
50641,50641,1975,0,1038.557479,44000,17.6,0.005063291,0.00556962
97539,97539,3432,0,2400.500647,36368,21.8,0,0.068181818
50607,50607,630,1,1034.134896,48333,40.4,0.004761905,0.041269841
14512,14512,4765,1,935.9665009,52101,15.3,0.000839454,0.004826863
50568,50568,1706,1,1135.799307,51371,14.5,0,0.090855803
83246,83246,953,1,1867.197957,70536,10.6,0,0.011542497
12161,12161,87,1,1004.895985,31477,0,0,0
14478,14478,1535,1,938.0331972,56250,0,0.025407166,0.003908795
1220,1220,8536,0,1030.355798,41950,11.2,0.006794752,0.009372071
49328,49328,3928,1,914.7202715,50163,8.9,0.001782077,0.010183299
68739,68739,2710,1,1217.266473,49875,6.2,0.003321033,0.010701107
14066,14066,1149,1,923.7616817,48787,5.8,0,0
12040,12040,132,1,1025.034975,51875,0,0,0.045454545
52073,52073,1260,1,1011.23845,66333,6.7,0,0.061111111
53808,53808,1007,1,1004.563094,50385,5.4,0,0
48001,48001,11865,0,894.885862,45523,11.8,0.000337126,0.008006743
50671,50671,271,1,1037.858174,65750,1.8,0,0.007380074
1851,1851,30379,0,1083.570891,52031,17.6,0.079133612,0.13328286
83350,83350,11991,0,1946.232281,43400,13.5,0.00425319,0.354766075
83343,83350,11991,0,1946.232281,43400,13.5,0.00425319,0.354766075
49096,49096,3087,1,906.9444228,51583,12.2,0,0.022027859
53576,53576,2405,1,973.2282958,55156,11.5,0,0.027858628
53542,53576,2405,1,973.2282958,55156,11.5,0,0.027858628
48876,48876,3992,0,905.1802322,56840,11.7,0.023296593,0.039328657
69346,69346,609,1,1487.907565,32500,17.9,0,0.013136289
1354,1354,1573,1,1038.679678,75776,7.3,0.000635728,0.05785124
48341,48341,17112,0,896.0589105,32437,28.2,0.615766713,0.089936886
48343,48341,17112,0,896.0589105,32437,28.2,0.615766713,0.089936886
12187,12187,522,1,995.5826356,49643,11.7,0,0.042145594
51049,51049,467,1,1157.82089,49000,16.5,0,0.017130621
12144,12144,20244,0,1015.085569,63005,12.6,0.022525193,0.043420273
1929,1929,3580,0,1101.184077,89185,3.7,0,0.00726257
12149,12149,2415,1,993.4629755,50375,13.4,0.013250518,0.03436853
14427,14427,2202,1,926.3631939,52794,10.5,0.005449591,0.004541326
1863,1863,8913,0,1081.853301,74695,3.3,0.00673174,0.02771233
53115,53115,15861,0,960.5053165,51094,11.6,0.003719816,0.208814072
50571,50571,348,1,1123.269743,42708,15.5,0.014367816,0.034482759
69347,69347,1149,1,1434.952748,41987,11.5,0.01305483,0.032201915
1852,1852,32735,0,1084.804751,48690,18.5,0.0645181,0.182648541
1853,1852,32735,0,1084.804751,48690,18.5,0.0645181,0.182648541
12018,12018,7919,1,1019.529461,80821,3,0.010859957,0.013890643
69221,69221,193,1,1336.193664,29167,15.5,0,0
12186,12186,6266,0,1009.113304,86951,4.8,0.005745292,0.045643154
1983,1983,6286,0,1096.460035,121157,5.3,0.000477251,0.000477251
50588,50588,12847,0,1143.751481,46883,12,0.036117381,0.345683817
50592,50588,12847,0,1143.751481,46883,12,0.036117381,0.345683817
12153,12153,786,1,1021.636215,74861,8.9,0,0
50629,50629,2155,1,1045.021217,66167,7.2,0.026914153,0
12202,12202,9066,0,1014.342548,27137,31.3,0.630046327,0.1237591
